,Reviews
0,"
It is the best phone ever!
"
1,"
Great product!
"
2,"
We just got it and It seems to be a very nice phone
"
3,"
Awesome
"
4,"
nice phone
"
5,"
So they did a couple of updatesBetter camera ( not great )Crease still very visible , I mean come on , surly the design of the screen could have been improved. Aspect ratio just feels all wrongBattery life betterBut overall not worth the upgrade for what your paying ( your paying to flip a screen) nothing more
"
6,"
I like the phone , but it does not have Dex. Dex allows you to use Samsung phone with HDMI inputs such as monitors and TV screens.I would not have this as a primary phone for my needs as the flip is kind of gimicky IMO, but...I like to use the rear camera for selfies in the folded /flip mode. Takes good photos, and I can backup photos to an USB-C memory stick  if needed, as no memory card option (although 256k internal memory).I am awaiting a high quality skin for the front screen and also the rear, on order here at AMZ.I got the phone on a two year added line with a carrier and my monthly rate plan is like a phone payment , so that was a no brainer. Can't complain about the price which is a wa$h. Not sure if it is worth $1k retail. Better primary phones out there IMO.Purchased a great Amazon a padded holster type case that loops on your belt that is padded, and would highly recommend that. Also got here a case that protects the rear hinge and the texture makes it less slippery yet protected from falls (when closed ideally). This phone will not leave my grip when in use.Disliking the nosy permissions which can Not be disabled for certain apps like Camera. Come on Samsung, Google, etc stop spying on us and selling our souls to strangers.I prefer my Sony Xperia 1 Mark 3 for photos. No itrusions by SONY, which IMO makes the highest quality phones but perhaps is trailing in their software area compared to SAMapple.
"
7,"
I got mine from Verizon, but overall it's a great phone, I don't know why all the people who haven't touched one want to talk down on it.
"
8,"
As the title suggests my experience with the Samsung Galaxy Z Flip4 has not been ideal.Like most people I have experienced a short battery life despite the larger battery and claims of a more power efficient chipset in this latest iteration of the Flip series. At least that's what I experienced before it started randomly power cycling or just straight up turning itself off with 70-80% of the battery charge remaining. The USB port started rejecting cables for anything other than charging even though they worked fine with the Samsung Galaxy S20 FE I had replaced with the Flip4 and who still worked with other devices for data transfer. All of this happened within two weeks of receiving the device.There are things I genuinely like about the Flip 4. The ability to start and stop the playback of my audiobooks without having to open the device or turn the main screen on is brilliant. I can just leave it on the desk while I work with my bluetooth earbuds in and can stop and start at a moment with no hassles. The new chipset has a much greater ability to maintain a stable 5g data connection over my previous phone which is vital to me. The ability to fold and use the camera feels great to use. It's a shame how bad of an experience I've had with the hardware.I might change my mind in the future but as of right now I would not recommend this phone. It's far too expensive to have these shortcomings and to be apparently so delicate.
"
9,"
The reason the screen can fold is because it's made out of soft plastic. They put another layer of slightly harder plastic on top of the base screen to protect from scratches.The harder 'screen protector' layer can only be folded for about 6 months before it starts to peel up and crack. This would be fine if samsung had ANY POSSIBLE WAY TO REPLACE IT but they don't. Because of the crease you need a special machine to reapply a new protector. There's only a handful of places in the United States that have the necessary equipment, so if you don't live in 1 of the 4 cities in the US you're out of luck.If you contact them to fix it they might let you ship it in for 14 days to get repaired, but due to how common this is theyve recently stopped acknowledging the damage as a design problem. So it's no longer being covered under warranty. You'll have to pay like 300$ to get it replaced every 6 months and not have your phone for those 14 days.It's really frustrating because it's an otherwise great phone ruined because of terrible support from samsung. I wish I never bought it
"
